date,result
1991-09-02,5061
1991-09-05,9044
1991-09-09,3464
1991-09-12,6150
1991-09-16,1214
1991-09-19,7164
1991-09-23,9187
1991-09-26,7102
1991-09-30,2485
1991-10-03,2191
1991-10-07,1469
1991-10-10,0905
1991-10-14,3082
1991-10-17,1209
1991-10-21,5023
1991-10-24,2173
1991-10-28,1209
1991-10-31,5604
1991-11-04,3741
1991-11-07,1515
1991-11-11,3409
1991-11-14,2374
1991-11-18,2724
1991-11-21,2597
1991-11-25,4154
1991-11-28,1964
1991-12-02,1739
1991-12-05,4124
1991-12-09,3702
1991-12-12,4945
1991-12-16,1513
1991-12-19,4930
1991-12-23,1727
1991-12-26,8072
1991-12-30,0205
1992-01-02,9778
1992-01-06,3529
1992-01-09,2482
1992-01-13,7953
1992-01-16,7643
1992-01-20,6079
1992-01-23,4217
1992-01-27,7480
1992-01-30,3634
1992-02-03,8090
1992-02-06,9687
1992-02-10,4780
1992-02-13,1457
1992-02-17,2880
1992-02-20,1452
1992-02-24,2955
1992-02-27,7257
1992-03-02,1675
1992-03-05,1445
1992-03-09,3114
1992-03-12,8197
1992-03-16,1696
1992-03-19,9080
1992-03-23,7830
1992-03-26,1265
1992-03-30,5369
1992-04-02,3250
1992-04-06,2302
1992-04-09,8001
1992-04-13,4805
1992-04-16,1734
1992-04-20,2845
1992-04-23,0115
1992-04-27,1738
1992-04-30,2329
1992-05-04,6962
1992-05-07,9680
1992-05-11,3487
1992-05-14,8501
1992-05-18,3987
1992-05-21,2832
1992-05-25,2867
1992-05-28,6387
1992-06-01,5601
1992-06-04,1446
1992-06-08,0135
1992-06-11,3939
1992-06-15,1593
1992-06-18,7157
1992-06-22,6401
1992-06-25,3830
1992-06-29,0246
1992-07-02,7842
1992-07-06,1544
1992-07-09,1425
1992-07-13,2060
1992-07-16,5879
1992-07-20,7277
1992-07-23,6269
1992-07-27,7689
1992-07-30,4942
1992-08-03,8685
1992-08-06,2383
1992-08-10,2485
1992-08-13,6755
1992-08-17,3444
1992-08-20,9661
1992-08-24,7574
1992-08-27,8980
1992-08-31,1724
1992-09-03,4540
1992-09-07,4799
1992-09-10,5639
1992-09-14,1743
1992-09-17,6720
1992-09-21,3719
1992-09-24,4485
1992-09-28,3557
1992-10-01,2129
1992-10-05,2522
1992-10-08,2479
1992-10-12,1874
1992-10-15,3437
1992-10-19,1498
1992-10-22,5645
1992-10-26,4383
1992-10-29,4004
1992-11-02,6948
1992-11-05,0468
1992-11-09,1843
1992-11-12,4852
1992-11-16,3259
1992-11-19,1229
1992-11-23,7359
1992-11-26,5351
1992-11-30,2976
1992-12-03,2791
1992-12-07,5727
1992-12-10,5425
1992-12-14,2383
1992-12-17,8376
1992-12-21,7174
1992-12-24,6648
1992-12-28,6025
1992-12-31,2429
1993-01-04,3847
1993-01-07,1519
1993-01-11,8877
1993-01-14,5077
1993-01-18,1605
1993-01-21,9435
1993-01-25,7839
1993-01-28,3683
1993-02-01,7931
1993-02-04,7384
1993-02-08,1083
1993-02-11,6950
1993-02-15,3418
1993-02-18,3404
1993-02-22,3805
1993-02-25,4594
1993-03-01,2833
1993-03-04,8452
1993-03-08,0453
1993-03-11,2232
1993-03-15,0341
1993-03-18,4297
1993-03-22,3269
1993-03-25,7238
1993-03-29,3759
1993-04-01,4716
1993-04-05,3875
1993-04-08,7961
1993-04-12,3708
1993-04-15,1187
1993-04-19,8339
1993-04-22,4637
1993-04-26,1805
1993-04-29,6750
1993-05-03,1547
1993-05-06,7940
1993-05-10,2470
1993-05-13,4831
1993-05-17,2586
1993-05-20,3755
1993-05-24,4615
1993-05-27,3533
1993-05-31,4923
1993-06-03,0162
1993-06-07,4889
1993-06-10,2730
1993-06-14,1944
1993-06-17,5910
1993-06-21,1061
1993-06-24,2357
1993-06-28,1321
1993-07-01,5881
1993-07-05,1248
1993-07-08,7255
1993-07-12,8156
1993-07-15,5974
1993-07-19,1967
1993-07-22,6141
1993-07-26,5671
1993-07-29,1432
1993-08-02,3370
1993-08-05,5066
1993-08-09,5663
1993-08-12,4927
1993-08-16,8015
1993-08-19,2613
1993-08-23,0577
1993-08-26,1575
1993-08-30,6956
1993-09-02,6984
1993-09-06,5055
1993-09-09,7339
1993-09-13,1838
1993-09-16,5912
1993-09-20,2928
1993-09-23,6741
1993-09-27,7819
1993-09-30,2621
1993-10-04,1239
1993-10-07,5953
1993-10-11,3593
1993-10-14,7936
1993-10-18,7248
1993-10-21,1347
1993-10-25,1221
1993-10-28,4170
1993-11-01,2153
1993-11-04,3542
1993-11-08,1534
1993-11-11,6853
1993-11-15,8103
1993-11-18,9140
1993-11-22,2992
1993-11-25,1745
1993-11-29,2406
1993-12-02,7986
1993-12-06,1721
1993-12-09,3621
1993-12-13,2477
1993-12-16,1962
1993-12-20,1849
1993-12-23,3519
1993-12-27,8951
1993-12-30,2418
1994-01-03,9863
1994-01-06,6149
1994-01-10,2798
1994-01-13,3454
1994-01-17,3694
